LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1103676591690,Shore Rd Exd,M,S1400,001,33,2023
110391011064,High St Exd,M,S1400,001,33,2023
1105598781978,Ten Rod Rd Exd,M,S1400,001,33,2023
110391014927,Trail View Dr Exd,M,S1400,001,33,2023
1103634077983,Pine St Exd,M,S1400,001,33,2023
1103649861193,Waukewan St Exd,M,S1400,001,33,2023
110391024698,Knox Mountain Rd Exn,M,S1400,001,33,2023
1103557256678,Newcastle Exn,M,S1500,001,33,2023
1103557260524,New Castle Exn,M,S1400,001,33,2023
1103557256503,New Castle Exn,M,S1400,001,33,2023
1103687086396,New Castle Exn,M,S1400,001,33,2023
110391010653,US Hwy 3 Bus,U,S1200,001,33,2023
110391012399,Hollow Spr,M,S1400,001,33,2023
1103495666723,Mayo Shores Ln Pvt,M,S1780,001,33,2023
1103469921579,Watson Way Pvt,M,S1750,001,33,2023
110391011234,Bus Park Dr,M,S1400,001,33,2023
110391011176,Old N Main St,M,S1400,001,33,2023
1103676593146,Old Camp Rd,M,S1400,001,33,2023
110391014636,Old Wolfeboro Rd,M,S1400,001,33,2023
1106087972666,Old Lake Shore Rd,M,S1400,001,33,2023
110391011255,Old Rail Rd,M,S1400,001,33,2023
110391013424,Old Plummer Rd,M,S1400,001,33,2023
110391024350,Old Center Harbor Rd,M,S1400,001,33,2023
110391013966,Old Mountain Rd,M,S1400,001,33,2023
110391011769,Old Range Rd,M,S1400,001,33,2023
11015780220021,Old Coach Rd,M,S1400,001,33,2023
1103718776038,Old Brown Rd,M,S1400,001,33,2023
110391014634,Old Wolfeboro,M,S1400,001,33,2023
110391014172,Old Wolfboro Rd,M,S1400,001,33,2023
110391011866,Old State Rte,O,S1400,001,33,2023
1103679130863,Old Woods Rd,M,S1400,001,33,2023
110391012641,Old Parade Rd,M,S1400,001,33,2023
1106092827846,Old Hubbard Rd,M,S1400,001,33,2023
110391013409,Old Perkins Rd,M,S1400,001,33,2023
110391011859,Old Stage Rd,M,S1500,001,33,2023
110391011770,Old Range Rd,M,S1400,001,33,2023
110391014669,Old Camp Rd,M,S1400,001,33,2023
110391010654,Old Rte 3,O,S1400,001,33,2023
11012812693249,Old Marsh Hill Rd,M,S1400,001,33,2023
110391011857,Old Stage Rd,M,S1200,001,33,2023
1103679127292,Old Rd - 4WD,M,S1780,001,33,2023
110391013498,Old Stanton Rd,M,S1400,001,33,2023
110391029218,Old Stage Rd,M,S1400,001,33,2023
110391013967,Old Mountain Rd,M,S1400,001,33,2023
110391011768,Old Range Rd,M,S1400,001,33,2023
110391011771,Old Range Rd,M,S1400,001,33,2023
110391014635,Old Wolfeboro Rd,M,S1400,001,33,2023
110391024740,Old Prescott Hill Rd,M,S1400,001,33,2023
110391013497,Old Stanton Rd,M,S1400,001,33,2023
110391014637,Old Wolfeboro Rd,M,S1400,001,33,2023
110391011865,Old State Rd,M,S1400,001,33,2023
110391011710,Old Morin Rd,M,S1400,001,33,2023
110391011210,Old Mill Ln,M,S1400,001,33,2023
110391013968,Old Mountain Rd,M,S1740,001,33,2023
110391011775,Old Range Rd,M,S1500,001,33,2023
110391010724,Old Rte 28,O,S1400,001,33,2023
1106087327680,Old Follett Rd,M,S1400,001,33,2023
110391011858,Old Stage Rd,M,S1400,001,33,2023
110391012998,Old Bristol Rd,M,S1400,001,33,2023
110391014554,Old Rochester Rd,M,S1400,001,33,2023
110391024933,Old Meredith Center Rd,M,S1400,001,33,2023
110391010910,Old Barn Rd,M,S1400,001,33,2023
110391011861,Old Stage Rd,M,S1500,001,33,2023
110391024902,Old Camp Rd,M,S1400,001,33,2023
11033373594797,Old Ladd Hill Rd,M,S1400,001,33,2023
110391024346,Old Center Harbor Rd,M,S1400,001,33,2023
1103679132484,Old Woods Rd,M,S1400,001,33,2023
110391011283,Old Town Rd,M,S1400,001,33,2023
110391011774,Old Range Rd,M,S1500,001,33,2023
110391013739,Endicott St N,M,S1200,001,33,2023
110391014037,Primrose Dr N,M,S1400,001,33,2023
110391015058,Chamberlain Rd N,M,S1400,001,33,2023
110391013876,Leighton Ave N,M,S1400,001,33,2023
110391024666,Eastman Shore Rd N,M,S1400,001,33,2023
1105598782091,Ridge Rd S,M,S1400,001,33,2023
110391024669,Eastman Shore Rd S,M,S1400,001,33,2023
1106087325046,Leighton Ave S,M,S1400,001,33,2023
110391015065,Chamberlain Rd S,M,S1400,001,33,2023
110391014039,Primrose Dr S,M,S1400,001,33,2023
110391013740,Endicott St E,M,S1200,001,33,2023
110391023356,Zebley Shore Rd E,M,S1400,001,33,2023
